Artist name,Song name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Track URI,TopList,Year
Nosaj Thing,2K,0.31,0.445,7,-13.355,0,0.0863,0.094,0.0678,0.113,0.122,95.36,152560,spotify:track:33xMbeHzmWd6Od0BmLZEUs,no,2016
The Doors,4 Billion Souls,0.419,0.565,5,-11.565,1,0.0347,0.137,0.337,0.128,0.648,151.277,197707,spotify:track:3UnyplmZaq547hwsfOR5yy,no,1972
Radiohead,4 Minute Warning,0.354,0.302,9,-13.078,1,0.0326,0.59,0.0709,0.111,0.223,123.753,244285,spotify:track:1w8QCSDH4QobcQeT4uMKLm,no,2007
Vitas,7 Element,0.727,0.785,5,-6.707,0,0.0603,0.325,0.126,0.31,0.96,129.649,249940,spotify:track:7J9mBHG4J2eIfDAv5BehKA,no,2001
R.E.M.,#9 Dream,0.571,0.724,0,-5.967,1,0.026,0.0231,0.00311,0.0919,0.385,116.755,278320,spotify:track:1VZedwJj1gyi88WFRhfThb,no,2007
a-ha,#9 Dream,0.579,0.777,4,-7.505,1,0.0304,0.0177,0.000248,0.422,0.481,109.994,247067,spotify:track:3DSmOF7ETJHAQEqqgoSJao,no,2007
The Black Keys,10 Lovers,0.606,0.638,3,-6.994,0,0.0339,0.0434,0.000247,0.0887,0.817,97.992,213227,spotify:track:5HPnumlogzZtpLEaORZjz1,no,2014
Julian Casablancas,11th Dimension,0.574,0.925,6,-2.766,0,0.0463,0.00164,0.0243,0.115,0.369,125.501,243333,spotify:track:6i99ThziImjuFABb8rUQvy,no,2009
The Strokes,12:51,0.452,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.591,145.056,153133,spotify:track:0nkLI0pdyTRpq7BsTFBufZ,no,2003
The Strokes,12:51,0.451,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.592,145.056,153133,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,no,2003
The Beatles,12 Bar Original - Anthology 2 Version,0.6,0.535,9,-8.178,1,0.0298,0.00154,0.102,0.123,0.566,122.678,175080,spotify:track:2HvTGx5fzFGpHSyRNvXd9T,no,1996
The Strokes,15 Minutes,0.337,0.885,2,-3.566,1,0.0419,0.004,0.0378,0.141,0.389,83.001,273133,spotify:track:2XS4lIQ1bl9KSNsYtkqK46,no,2005
Radiohead,15 Step,0.6,0.853,1,-7.584,1,0.0423,0.0489,0.346,0.0934,0.847,94.457,237293,spotify:track:6dsq7Nt5mIFzvm5kIYNORy,no,2007
Perfume Genius,17,0.396,0.141,6,-16.115,1,0.0294,0.919,0.434,0.339,0.0443,68.03,150013,spotify:track:1wKGGfnznnXIvupuEZt9mM,no,2012
Half Moon Run,21 Gun Salute,0.594,0.61,11,-10.57,0,0.0388,0.829,0.208,0.077,0.289,129.963,292409,spotify:track:7Jjqx75QRHaYsxF5WnHovC,no,2012
Ariane Moffatt,22h22,0.35,0.0959,10,-17.471,1,0.0439,0.964,0.0024,0.106,0.108,143.861,200907,spotify:track:7BIPYQPHbPVDE9UsA0eT72,no,2015
Karkwa,28 Jours,0.15,0.237,3,-10.799,0,0.0323,0.778,0.0977,0.0897,0.0733,67.276,292120,spotify:track:4KEw5m7CZXVbpWbHVK4OrV,no,2010
Vinnie Who,39,0.733,0.719,5,-8.776,0,0.0462,0.0609,0.108,0.0807,0.327,114.959,309787,spotify:track:2YTRLoG5jdzCp4yg3B6OnH,no,2013
