Artist name,Song name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Track URI,TopList,Year
The Weeknd,Blinding Lights,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,yes,2020
Tones And I,Dance Monkey,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,spotify:track:1rgnBhdG2JDFTbYkYRZAku,yes,2020
Roddy Ricch,The Box,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,yes,2020
SAINt JHN,Roses - Imanbek Remix,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,176219,spotify:track:2Wo6QQD1KMDWeFkkjLqwx5,yes,2020
Dua Lipa,Don't Start Now,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,183290,spotify:track:3PfIrDoz19wz7qK7tYeu62,yes,2020
DaBaby,ROCKSTAR (feat. Roddy Ricch),0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,181733,spotify:track:7ytR5pFWmSjzHJIeQkgog4,yes,2020
Harry Styles,Watermelon Sugar,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000,spotify:track:6UelLqGlWMcVH1E5c4H7lY,yes,2020
Powfu,death bed (coffee for your head),0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,173333,spotify:track:7eJMfftS33KTjuF7lTsMCx,yes,2020
Trevor Daniel,Falling,0.784,0.43,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.087,159382,spotify:track:2rRJrJEo19S2J82BDsQ3F7,yes,2020
Lewis Capaldi,Someone You Loved,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,spotify:track:7qEHsqek33rTcFNT9PFqLf,yes,2020
KAROL G,Tusa,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,spotify:track:7k4t7uLgtOxPwTpFmtJNTY,yes,2020
Arizona Zervas,ROXANNE,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636,spotify:track:696DnlkuDOXcMAnKlTgXXK,yes,2020
Post Malone,Circles,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,spotify:track:21jGcNKet2qwijlDFuPiPb,yes,2020
Lil Mosey,Blueberry Faygo,0.774,0.554,0,-7.909,1,0.0383,0.207,0,0.132,0.349,99.034,162547,spotify:track:22LAwLoDA5b4AaGSkg6bKW,yes,2020
Justin Bieber,Intentions (feat. Quavo),0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,147.986,212867,spotify:track:4umIPjkehX1r7uhmGvXiSV,yes,2020
Drake,Toosie Slide,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604,247059,spotify:track:466cKvZn1j45IpxDdYZqdA,yes,2020
Lewis Capaldi,Before You Go,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,215107,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,yes,2020
Doja Cat,Say So,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,237893,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,yes,2020
Maroon 5,Memories,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,spotify:track:2b8fOow8UzyDFAE27YhOZM,yes,2020
Future,Life Is Good (feat. Drake),0.795,0.574,2,-6.903,0,0.487,0.067,0,0.15,0.537,142.053,237918,spotify:track:1K5KBOgreBi5fkEHvg5ap3,yes,2020
Jawsh 685,Savage Love (Laxed - Siren Beat),0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,171375,spotify:track:1xQ6trAsedVPCdbtDAmk0c,yes,2020
Harry Styles,Adore You,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,spotify:track:3jjujdWJ72nww5eGnfs2E7,yes,2020
Topic,Breaking Me,0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,166794,spotify:track:3H7ihDc1dqLriiWXwsc2po,yes,2020
24kGoldn,Mood (feat. iann dior),0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,140526,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,yes,2020
Billie Eilish,everything i wanted,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,yes,2020
Shawn Mendes,Señorita,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,yes,2020
Billie Eilish,bad guy,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,spotify:track:2Fxmhks0bxGSBdJ92vM42m,yes,2020
Cardi B,WAP (feat. Megan Thee Stallion),0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,187541,spotify:track:4Oun2ylbjFKMPTiaSbbCih,yes,2020
Surfaces,Sunday Best,0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,158571,spotify:track:1Cv1YLb4q0RzL6pybtaMLo,yes,2020
Eminem,Godzilla (feat. Juice WRLD),0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,210800,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,yes,2020
Justin Bieber,Yummy,0.676,0.506,9,-6.652,0,0.0958,0.345,0,0.118,0.497,145.842,208520,spotify:track:16wAOAZ2OkqoIDN7TpChjR,yes,2020
Dua Lipa,Break My Heart,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,221820,spotify:track:017PF4Q3l4DBUiWoXk4OWT,yes,2020
BTS,Dynamite,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,199054,spotify:track:0t1kP63rueHleOhQkYSXFY,yes,2020
BENEE,Supalonely (feat. Gus Dapperton),0.862,0.631,7,-4.746,1,0.0515,0.291,0.000209,0.123,0.841,128.978,223488,spotify:track:3GZoWLVbmxcBys6g0DLFLf,yes,2020
Surf Mesa,ily (i love you baby) (feat. Emilee),0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547,spotify:track:62aP9fBQKYKxi7PDXwcUAS,yes,2020
